order_id,customer_id,order_date_fk,revenue
96516,K2075623666.0,20170102,21.99
259675,K1738681914.0,20170102,21.96
126095,K2174264248.0,20170102,20.90
233828,K3509596481.0,20170102,20.35
166158,K0166158.0,20170102,20.00
96561,K3758838535.0,20170102,20.00
233839,K1138012973.0,20170102,19.90
96634,K439608145.0,20170102,19.79
195129,K3239634210.0,20170102,19.79
96593,K3555432682.0,20170102,19.79
96653,K3534056490.0,20170102,19.79
259672,K3987135743.0,20170102,19.79
96655,K3721479431.0,20170102,19.79
208798,K3242912205.0,20170102,19.79
233811,K3452584430.0,20170102,19.79
195001,K1433669336.0,20170102,19.25
96704,K2340253530.0,20170102,19.00
233851,K2653518473.0,20170102,18.99
233816,K3789712581.0,20170102,18.50
96549,K2208994484.0,20170102,18.49
126096,K381125022.0,20170102,17.89
126103,K2331239812.0,20170102,17.89
126090,K3207911082.0,20170102,17.89
96551,K1933213686.0,20170102,17.70
