customer_id,customer_type,primary_sales_channel,first_order_day_fk
K0166653,B2C,Offline,20170206
K0166654,B2C,Offline,20170206
K0166655,B2C,Offline,20170207
K0166658,B2C,Offline,20170207
K0166659,B2C,Offline,20170207
K0166660,B2C,Offline,20170207
K0166661,B2C,Offline,20170207
K0166662,B2C,Offline,20170208
K0166664,B2C,Offline,20170208
K0166666,B2C,Offline,20170208
K0166669,B2C,Offline,20170208
K0166677,B2C,Offline,20170208
K0166678,B2C,Offline,20170208
K0166679,B2C,Offline,20170208
K0166686,B2C,Offline,20170209
K0166688,B2C,Offline,20170209
K0166695,B2C,Offline,20170209
K0166698,B2C,Offline,20170209
K0166700,B2C,Offline,20170209
K0166708,B2C,Offline,20170211
K0166709,B2C,Offline,20170211
K0166710,B2C,Offline,20170211
K0166718,B2C,Offline,20170211
K0166723,B2C,Offline,20170211
K0166727,B2C,Offline,20170213
K0166731,B2C,Offline,20170213
K0166735,B2C,Offline,20170213
K0166736,B2C,Offline,20170213
K0166737,B2C,Offline,20170213
K0166739,B2C,Offline,20170213
K0166751,B2C,Offline,20170213
K0166754,B2C,Offline,20170213
K0166761,B2C,Offline,20170214
K0166764,B2C,Offline,20170214
K0166768,B2C,Offline,20170214
K0166769,B2C,Offline,20170214
K0166770,B2C,Offline,20170214
K0166772,B2C,Offline,20170214
K0166774,B2C,Online,20170214
K0166777,B2C,Offline,20170216
K0166787,B2C,Offline,20170216
K0166792,B2C,Offline,20170216
K0166794,B2C,Offline,20170401
K0166795,B2C,Offline,20170401
K0166796,B2C,Offline,20170401
K0166797,B2C,Offline,20170401
K0166798,B2C,Offline,20170401
K0166799,B2C,Offline,20170401
K0166800,B2C,Offline,20170401
K0166801,B2C,Offline,20170401
K0166802,B2C,Offline,20170401
K0166803,B2C,Offline,20170401
K0166804,B2C,Offline,20170401
K0166809,B2C,Offline,20170401
K0166810,B2C,Offline,20170401
K0166812,B2C,Offline,20170401
K0166813,B2C,Offline,20170401
K0166814,B2C,Offline,20170401
K0166815,B2C,Offline,20170401
K0166816,B2C,Offline,20170401
K0166817,B2C,Offline,20170402
K0166818,B2C,Offline,20170402
K0166820,B2C,Offline,20170402
K0166822,B2C,Offline,20170402
K0166823,B2C,Offline,20170402
K0166825,B2C,Offline,20170402
K0166826,B2C,Offline,20170402
K0166827,B2C,Offline,20170402
K0166828,B2C,Offline,20170402
K0166830,B2C,Offline,20170402
K0166832,B2C,Offline,20170402
K0166833,B2C,Offline,20170402
K0166835,B2C,Offline,20170402
K0166837,B2C,Offline,20170402
K0166838,B2C,Offline,20170402
K0166839,B2C,Offline,20170402
K0166840,B2C,Offline,20170402
K0166842,B2C,Offline,20170402
K0166844,B2C,Offline,20170402
K0166845,B2C,Offline,20170402
K0166846,B2C,Offline,20170402
K0166847,B2C,Offline,20170402
K0166849,B2C,Offline,20170402
K0166850,B2C,Offline,20170402
K0166851,B2C,Offline,20170402
K0166852,B2C,Offline,20170402
K0166853,B2C,Offline,20170402
K0166854,B2C,Offline,20170402
K0166855,B2C,Offline,20170402
K0166856,B2C,Offline,20170402
K0166857,B2C,Offline,20170402
K0166858,B2C,Offline,20170402
K0166863,B2C,Online,20170407
K0166864,B2C,Online,20170408
K0166868,B2C,Online,20170409
K0166869,B2C,Offline,20170409
K0166871,B2C,Offline,20170409
K0166872,B2C,Offline,20170409
K0166873,B2C,Offline,20170409
K0166876,B2C,Offline,20170409
K0166878,B2C,Offline,20170409
K0166879,B2C,Offline,20170409
K0166880,B2C,Offline,20170409
K0166881,B2C,Offline,20170409
K0166882,B2C,Offline,20170409
K0166883,B2C,Offline,20170409
K0166884,B2C,Offline,20170409
K0166888,B2C,Offline,20170409
K0166889,B2C,Offline,20170409
K0166890,B2C,Offline,20170409
K0166892,B2C,Offline,20170409
K0166893,B2C,Offline,20170409
K0166896,B2C,Offline,20170409
K0166897,B2C,Offline,20170409
K0166899,B2C,Offline,20170409
K0166900,B2C,Offline,20170409
K0166901,B2C,Offline,20170409
K0166903,B2C,Offline,20170409
K0166904,B2C,Offline,20170409
K0166905,B2C,Offline,20170409
K0166907,B2C,Offline,20170409
K0166908,B2C,Offline,20170409
K0166909,B2C,Offline,20170409
K0166910,B2C,Offline,20170409
K0166917,B2C,Offline,20170409
K0166919,B2C,Offline,20170409
K0166921,B2C,Offline,20170415
K0166924,B2C,Offline,20170415
K0166925,B2C,Offline,20170415
K0166926,B2C,Offline,20170415
K0166929,B2C,Offline,20170415
K0166930,B2C,Offline,20170415
K0166931,B2C,Offline,20170422
K0166932,B2C,Offline,20170422
K0166933,B2C,Offline,20170422
K0166934,B2C,Offline,20170422
K0166935,B2C,Offline,20170422
