timestamp,temperature_celsius,precipitation_mm,wind_speed_km_h
20200327T0000,6.313209,0,13.250555
20200327T0100,5.1932087,0,13.669722
20200327T0200,4.323209,0,15.081628
20200327T0300,4.1732087,0,11.775965
20200327T0400,4.373209,0,12.483903
20200327T0500,4.343209,0,14.038547
20200327T0600,4.623209,0,13.713779
20200327T0700,4.373209,0,12.152629
20200327T0800,4.223209,0,12.523634
20200327T0900,4.473209,0,14.066324
20200327T1000,5.453209,0,12.300643
20200327T1100,6.763209,0,10.403253
20200327T1200,7.473209,0,10.403253
20200327T1300,7.553209,0,14.813373
20200327T1400,7.5432086,0,13.37848
20200327T1500,9.243208,0,10.444103
20200327T1600,10.713208,0,9.236053
20200327T1700,10.783208,0,9.974892
20200327T1800,10.903209,0,10.444103
20200327T1900,11.063209,0,9.486234
20200327T2000,10.573209,0,9.653095
20200327T2100,8.773209,0,11.380612
20200327T2200,7.5032086,0,10.86703
20200327T2300,6.1332088,0,8.986805
20200328T0000,5.473209,0,5.2474713
20200328T0100,4.9632087,0,4.212154
20200328T0200,4.563209,0,4.5366287
20200328T0300,4.823209,0,1.0656
20200328T0400,5.393209,0,2.028842
20200328T0500,5.973209,0,2.9784427
20200328T0600,6.453209,0,3.7862556
20200328T0700,5.163209,0,5.6637416
20200328T0800,4.083209,0,6.415762
20200328T0900,4.473209,0,6.7814364
20200328T1000,6.393209,0,7.2468634
20200328T1100,8.523209,0,7.421045
20200328T1200,10.413208,0,5.8668513
20200328T1300,12.033208,0,4.075136
20200328T1400,13.403209,0,2.1477854
20200328T1500,14.323209,0,3.1067312
20200328T1600,14.973208,0,1.7870656
20200328T1700,15.383208,0,0.84243083
20200328T1800,15.543208,0,0.753493
20200328T1900,15.373208,0,1.5984001
20200328T2000,14.803208,0,2.9304
20200328T2100,13.873208,0,3.7296
20200328T2200,13.103209,0,4.3935814
20200328T2300,11.603209,0,5.0264254
20200329T0000,10.333208,0,4.336678
20200329T0100,9.623208,0,3.2518265
20200329T0200,9.033208,0,2.3976
20200329T0300,9.083208,0,2.6237357
20200329T0400,9.223208,0,2.6237357
20200329T0500,8.8932085,0,3.013972
20200329T0600,8.233209,0,2.8318708
20200329T0700,7.313209,0,2.4560866
20200329T0800,6.573209,0,2.4560866
20200329T0900,6.623209,0,2.664
20200329T1000,8.583208,0,1.8837326
20200329T1100,10.793208,0,1.191377
20200329T1200,12.8932085,0,2.8318708
20200329T1300,14.923208,0,3.9333487
20200329T1400,16.40321,0,4.295571
20200329T1500,17.30321,0,4.5600333
20200329T1600,17.92321,0,5.089565
20200329T1700,18.203209,0,6.179102
20200329T1800,18.24321,0,7.6285353
20200329T1900,17.773209,0,7.670285
20200329T2000,17.013208,0,7.033162
20200329T2100,15.973208,0,3.9603205
20200329T2200,15.453208,0,4.5288
20200329T2300,13.613209,0,14.296525
20200330T0000,11.243208,0,15.168433
20200330T0100,9.763208,0,15.861428
20200330T0200,8.873208,0,17.870655
